vehicle_id,model_name,brand,body_type,segment,usable_battery_kwh,real_range_km,efficiency_wh_km,acceleration_0_100_s,top_speed_km_h,towing_capacity_kg,price_eur,charging_time_min,max_charging_power_kw,horsepower_hp,torque_nm,maintenance_cost_euro_year,seating_capacity,boot_capacity_l,adas_level,safety_rating_euro_ncap,usage_type,energy_cost_euro_100km,insurance_rating,powertrain_type,fuel_type,segment_system,adas_level_clean,vehicle_classification
1,Kia R7 Pro,Kia,Sedan,D,0,700,700,8.9,250,854,57524,0,0,247,359,562,5,422,2,4,Personal,13.89,5,Petrol,Petrol,Vehicle_Size,2,ICE
2,Fiat T-Class,Fiat,Crossover,D,0,929,617,10,212,1482,51816,0,0,133,256,466,7,537,1,3,Personal,10.17,2,Diesel,Diesel,Vehicle_Size,1,ICE
3,Mini P8x,Mini,Wagon,B,1.7,900,421,9.7,238,1212,36041,0,0,139,198,609,5,740,1,4,Personal,7.24,5,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
4,Honda F3x,Honda,Hatchback,A,0,782,467,11.7,189,865,25625,0,0,83,122,499,5,341,0,3,Personal,8.92,3,Petrol,Petrol,Vehicle_Size,0,ICE
5,BMW E8 Pro,BMW,Hatchback,C,1.3,900,312,10.7,212,811,40468,0,0,90,133,511,5,465,0,3,Personal,5.36,2,Hybrid,Petrol+Electric,Vehicle_Size,0,Hybrid
6,Cupra EE-99,Cupra,SUV,B,0,749,488,9.7,227,1729,36181,0,0,152,207,678,5,801,1,3,Personal,9.32,4,Petrol,Petrol,Vehicle_Size,1,ICE
7,Hyundai D4 Pro,Hyundai,Wagon,C,0,792,620,9.9,235,1197,40456,0,0,170,251,564,5,731,1,5,Personal,11.85,4,Petrol,Petrol,Vehicle_Size,1,ICE
8,Kia QQ-11,Kia,Crossover,F,0,1071,562,6.8,250,1668,119420,0,0,401,666,880,7,625,3,4,Personal,10.74,10,Petrol,Petrol,Vehicle_Size,3,ICE
9,Mercedes-Benz S66,Mercedes-Benz,Wagon,B,0,721,545,10.2,223,993,34166,0,0,135,202,529,5,772,1,5,Commercial,10.41,2,Petrol,Petrol,Vehicle_Size,1,ICE
10,Alfa Romeo 777,Alfa Romeo,SUV,C,0,746,662,10.4,203,1773,36173,0,0,110,159,335,5,627,0,3,Personal,12.65,3,Petrol,Petrol,Vehicle_Size,0,ICE
11,Skoda 666,Skoda,Sedan,D,13.3,900,500,8.4,250,743,57324,33,0,236,389,485,5,548,1,4,Personal,6.21,7,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
12,Aston Martin B-Class,Aston Martin,SUV,C,0,713,638,9.6,250,2093,46875,0,0,196,306,481,5,820,1,4,Commercial,12.18,5,Petrol,Petrol,Vehicle_Size,1,ICE
13,Mazda D66,Mazda,Sedan,A,0,783,508,10.5,206,993,26084,0,0,71,108,506,5,456,0,5,Personal,9.69,2,Petrol,Petrol,Vehicle_Size,0,ICE
14,Ford M-Class,Ford,Wagon,B,0,785,514,9.8,233,1140,33018,0,0,164,320,781,5,606,1,4,Personal,8.48,2,Diesel,Diesel,Vehicle_Size,1,ICE
15,Alfa Romeo Q-Class,Alfa Romeo,Sedan,E,1.4,900,500,8.9,231,896,73777,0,0,181,270,581,5,494,1,4,Personal,9.94,6,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
16,Peugeot E77,Peugeot,Sedan,B,1,617,500,8.5,241,801,41938,0,0,199,313,542,5,550,1,4,Personal,10.55,4,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
